{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.8392718883703288, 'weighted_error': 1.0127631170603748}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.36652346180935874, 'weighted_error': 1.005573514810448}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.18381351659556977, 'weighted_error': 1.0027951819127956}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.24940796919614466, 'weighted_error': 1.0037927027661524}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.11213713310882192, 'weighted_error': 1.0017051870054983}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.034882410834728386, 'weighted_error': 1.000530445850773}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.573450034338448, 'weighted_error': 1.0110215926455026}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.3387565989725702, 'weighted_error': 1.0065106619517663}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.1713436247439047, 'weighted_error': 1.0032932265181964}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.19112321529515447, 'weighted_error': 1.0036733253584507}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.08125155504705187, 'weighted_error': 1.0015616089146555}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.029785028093698256, 'weighted_error': 1.000572461046903}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 1.4850580632736616, 'weighted_error': 1.016160410321731}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.4575336591941831, 'weighted_error': 1.0049789221394994}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.32043746630347714, 'weighted_error': 1.0034869828578963}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.48661086503945566, 'weighted_error': 1.0052953775978177}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.16548596149140588, 'weighted_error': 1.0018008412897716}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.05447625997103408, 'weighted_error': 1.000592802568614}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 1.1612209635403263, 'weighted_error': 1.019826807422827}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.6088543490702121, 'weighted_error': 1.0103956745554392}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.2326975070284155, 'weighted_error': 1.003973050719915}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.10332177625564753, 'weighted_error': 1.001764117722663}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.06568880469629725, 'weighted_error': 1.0011215655637247}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.06706380809883701, 'weighted_error': 1.0011450228047902}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 4.294464906558202, 'weighted_error': 1.0108064796160867}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.58163868239126, 'weighted_error': 1.0014635978297648}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.873045177543406, 'weighted_error': 1.0021968916581494}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 1.0893802205942922, 'weighted_error': 1.0027413061529342}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.3616174137751741, 'weighted_error': 1.0009099689355696}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.3112323048435227, 'weighted_error': 1.0007831671946195}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 4.166770995903172, 'weighted_error': 1.0518309213722523}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 1.538988202047017, 'weighted_error': 1.0191436350170604}
