{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.1167377541953637, 'weighted_error': 1.001775224381835}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.015894557917661683, 'weighted_error': 1.0002417336937444}
{'sample_size': 2000, 'difference': -976, 'noise': 0, 'n': 10, 'shap_error': 8.190958020504301e-10, 'weighted_error': 0.9999999999916243}
{'sample_size': 4000, 'difference': -2976, 'noise': 0, 'n': 10, 'shap_error': 8.190958020504301e-10, 'weighted_error': 0.9999999999916243}
{'sample_size': 8000, 'difference': -6976, 'noise': 0, 'n': 10, 'shap_error': 8.190958020504301e-10, 'weighted_error': 0.9999999999916243}
{'sample_size': 16000, 'difference': -14976, 'noise': 0, 'n': 10, 'shap_error': 8.190958020504301e-10, 'weighted_error': 0.9999999999916243}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.10664199687161453, 'weighted_error': 1.0020496211251844}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.009499100817738481, 'weighted_error': 1.0001825720282143}
{'sample_size': 2000, 'difference': -976, 'noise': 0, 'n': 10, 'shap_error': 4.8091352422496396e-11, 'weighted_error': 0.9999999999990757}
{'sample_size': 4000, 'difference': -2976, 'noise': 0, 'n': 10, 'shap_error': 4.8091352422496396e-11, 'weighted_error': 0.9999999999990757}
{'sample_size': 8000, 'difference': -6976, 'noise': 0, 'n': 10, 'shap_error': 4.8091352422496396e-11, 'weighted_error': 0.9999999999990757}
{'sample_size': 16000, 'difference': -14976, 'noise': 0, 'n': 10, 'shap_error': 4.8091352422496396e-11, 'weighted_error': 0.9999999999990757}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.10762529761573399, 'weighted_error': 1.0011711980997484}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.01594348030704456, 'weighted_error': 1.000173491801952}
{'sample_size': 2000, 'difference': -976, 'noise': 0, 'n': 10, 'shap_error': 3.12632206656312e-11, 'weighted_error': 0.99999999999966}
{'sample_size': 4000, 'difference': -2976, 'noise': 0, 'n': 10, 'shap_error': 3.12632206656312e-11, 'weighted_error': 0.99999999999966}
{'sample_size': 8000, 'difference': -6976, 'noise': 0, 'n': 10, 'shap_error': 3.12632206656312e-11, 'weighted_error': 0.99999999999966}
{'sample_size': 16000, 'difference': -14976, 'noise': 0, 'n': 10, 'shap_error': 3.12632206656312e-11, 'weighted_error': 0.99999999999966}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.19539525866499924, 'weighted_error': 1.0033361387390876}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.029382332684825714, 'weighted_error': 1.0005016674979301}
{'sample_size': 2000, 'difference': -976, 'noise': 0, 'n': 10, 'shap_error': 1.694110917824419e-11, 'weighted_error': 0.9999999999997408}
{'sample_size': 4000, 'difference': -2976, 'noise': 0, 'n': 10, 'shap_error': 1.694110917824419e-11, 'weighted_error': 0.9999999999997408}
{'sample_size': 8000, 'difference': -6976, 'noise': 0, 'n': 10, 'shap_error': 1.694110917824419e-11, 'weighted_error': 0.9999999999997408}
{'sample_size': 16000, 'difference': -14976, 'noise': 0, 'n': 10, 'shap_error': 1.694110917824419e-11, 'weighted_error': 0.9999999999997408}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.6191271597353698, 'weighted_error': 1.0015579304083964}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.13272554592612812, 'weighted_error': 1.000333994929603}
{'sample_size': 2000, 'difference': -976, 'noise': 0, 'n': 10, 'shap_error': 2.4692419148279023e-10, 'weighted_error': 0.9999999999994019}
{'sample_size': 4000, 'difference': -2976, 'noise': 0, 'n': 10, 'shap_error': 2.4692419148279023e-10, 'weighted_error': 0.9999999999994019}
{'sample_size': 8000, 'difference': -6976, 'noise': 0, 'n': 10, 'shap_error': 2.4692419148279023e-10, 'weighted_error': 0.9999999999994019}
{'sample_size': 16000, 'difference': -14976, 'noise': 0, 'n': 10, 'shap_error': 2.4692419148279023e-10, 'weighted_error': 0.9999999999994019}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.069287504518099, 'weighted_error': 1.000861874290681}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.020089077134250385, 'weighted_error': 1.0002498856574076}
{'sample_size': 2000, 'difference': -976, 'noise': 0, 'n': 10, 'shap_error': 2.923503977822987e-11, 'weighted_error': 0.9999999999997796}
{'sample_size': 4000, 'difference': -2976, 'noise': 0, 'n': 10, 'shap_error': 2.923503977822987e-11, 'weighted_error': 0.9999999999997796}
{'sample_size': 8000, 'difference': -6976, 'noise': 0, 'n': 10, 'shap_error': 2.923503977822987e-11, 'weighted_error': 0.9999999999997796}
{'sample_size': 16000, 'difference': -14976, 'noise': 0, 'n': 10, 'shap_error': 2.923503977822987e-11, 'weighted_error': 0.9999999999997796}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.057428619973961946, 'weighted_error': 1.0003588256214393}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0350992666754303, 'weighted_error': 1.000219316750493}
{'sample_size': 2000, 'difference': -976, 'noise': 0, 'n': 10, 'shap_error': 1.233670502156006e-10, 'weighted_error': 0.9999999999993857}
{'sample_size': 4000, 'difference': -2976, 'noise': 0, 'n': 10, 'shap_error': 1.233670502156006e-10, 'weighted_error': 0.9999999999993857}
{'sample_size': 8000, 'difference': -6976, 'noise': 0, 'n': 10, 'shap_error': 1.233670502156006e-10, 'weighted_error': 0.9999999999993857}
{'sample_size': 16000, 'difference': -14976, 'noise': 0, 'n': 10, 'shap_error': 1.233670502156006e-10, 'weighted_error': 0.9999999999993857}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.6397332613898118, 'weighted_error': 1.004039996606746}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.02795350237351682, 'weighted_error': 1.000176524762907}
{'sample_size': 2000, 'difference': -976, 'noise': 0, 'n': 10, 'shap_error': 2.8156965772419862e-11, 'weighted_error': 0.9999999999998428}
{'sample_size': 4000, 'difference': -2976, 'noise': 0, 'n': 10, 'shap_error': 2.8156965772419862e-11, 'weighted_error': 0.9999999999998428}
{'sample_size': 8000, 'difference': -6976, 'noise': 0, 'n': 10, 'shap_error': 2.8156965772419862e-11, 'weighted_error': 0.9999999999998428}
{'sample_size': 16000, 'difference': -14976, 'noise': 0, 'n': 10, 'shap_error': 2.8156965772419862e-11, 'weighted_error': 0.9999999999998428}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.07856630657909373, 'weighted_error': 1.0028634572866404}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.009129178319088344, 'weighted_error': 1.0003327353578249}
{'sample_size': 2000, 'difference': -976, 'noise': 0, 'n': 10, 'shap_error': 3.6624917422478414e-11, 'weighted_error': 0.9999999999987406}
{'sample_size': 4000, 'difference': -2976, 'noise': 0, 'n': 10, 'shap_error': 3.6624917422478414e-11, 'weighted_error': 0.9999999999987406}
{'sample_size': 8000, 'difference': -6976, 'noise': 0, 'n': 10, 'shap_error': 3.6624917422478414e-11, 'weighted_error': 0.9999999999987406}
{'sample_size': 16000, 'difference': -14976, 'noise': 0, 'n': 10, 'shap_error': 3.6624917422478414e-11, 'weighted_error': 0.9999999999987406}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.025144039240697757, 'weighted_error': 1.0007786010528008}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.005309004149604318, 'weighted_error': 1.0001644033977182}
{'sample_size': 2000, 'difference': -976, 'noise': 0, 'n': 10, 'shap_error': 7.508830436285688e-12, 'weighted_error': 0.9999999999997723}
{'sample_size': 4000, 'difference': -2976, 'noise': 0, 'n': 10, 'shap_error': 7.508830436285688e-12, 'weighted_error': 0.9999999999997723}
{'sample_size': 8000, 'difference': -6976, 'noise': 0, 'n': 10, 'shap_error': 7.508830436285688e-12, 'weighted_error': 0.9999999999997723}
{'sample_size': 16000, 'difference': -14976, 'noise': 0, 'n': 10, 'shap_error': 7.508830436285688e-12, 'weighted_error': 0.9999999999997723}
{'sample_size': 1000, 'difference': 2, 'noise': 0.0005, 'n': 10, 'shap_error': 0.015882521214552713, 'weighted_error': 1.0002415506219497}
{'sample_size': 1000, 'difference': 2, 'noise': 0.001, 'n': 10, 'shap_error': 0.015870509927317693, 'weighted_error': 1.000241367921856}
{'sample_size': 1000, 'difference': 2, 'noise': 0.005, 'n': 10, 'shap_error': 0.015775334600409505, 'weighted_error': 1.0002399197023337}
{'sample_size': 1000, 'difference': 2, 'noise': 0.01, 'n': 10, 'shap_error': 0.015658652869354743, 'weighted_error': 1.0002381428810019}
{'sample_size': 1000, 'difference': 2, 'noise': 0.05, 'n': 10, 'shap_error': 0.01481669612413537, 'weighted_error': 1.0002252664331728}
{'sample_size': 1000, 'difference': 2, 'noise': 0.1, 'n': 10, 'shap_error': 0.013992992950608851, 'weighted_error': 1.0002125161804531}
{'sample_size': 1000, 'difference': 2, 'noise': 0.5, 'n': 10, 'shap_error': 0.01655307788224119, 'weighted_error': 1.000244326441361}
{'sample_size': 1000, 'difference': 2, 'noise': 1, 'n': 10, 'shap_error': 0.042627459846419455, 'weighted_error': 1.0006186199741602}
{'sample_size': 1000, 'difference': 2, 'noise': 0.0005, 'n': 10, 'shap_error': 0.009506076042776004, 'weighted_error': 1.0001827059569353}
{'sample_size': 1000, 'difference': 2, 'noise': 0.001, 'n': 10, 'shap_error': 0.009513078197228863, 'weighted_error': 1.000182840151147}
{'sample_size': 1000, 'difference': 2, 'noise': 0.005, 'n': 10, 'shap_error': 0.009570064891770957, 'weighted_error': 1.0001839232624983}
{'sample_size': 1000, 'difference': 2, 'noise': 0.01, 'n': 10, 'shap_error': 0.009643721907248673, 'weighted_error': 1.0001853010458326}
{'sample_size': 1000, 'difference': 2, 'noise': 0.05, 'n': 10, 'shap_error': 0.010329923923090345, 'weighted_error': 1.0001972790783058}
{'sample_size': 1000, 'difference': 2, 'noise': 0.1, 'n': 10, 'shap_error': 0.011430041172947363, 'weighted_error': 1.0002146410333965}
{'sample_size': 1000, 'difference': 2, 'noise': 0.5, 'n': 10, 'shap_error': 0.029925568374013677, 'weighted_error': 1.0004491132540991}
