{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.20778713491982295, 'weighted_error': 1.003159838750939, 'gamma': 1.5e-05}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0651098851063808, 'weighted_error': 1.0009901136909785, 'gamma': 1.5e-05}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.037454976751255684, 'weighted_error': 1.0005695109293928, 'gamma': 1.5e-05}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0167660420465234, 'weighted_error': 1.0002549508859884, 'gamma': 1.5e-05}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.003156107555358366, 'weighted_error': 1.0000480105448142, 'gamma': 1.5e-05}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.006564807019647678, 'weighted_error': 1.0000998695254397, 'gamma': 1.5e-05}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0005819914660438628, 'weighted_error': 1.0000111871086506, 'gamma': 0.00016}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.00013544630372227173, 'weighted_error': 1.0000026030460814, 'gamma': 0.00016}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 3.111693431858226e-05, 'weighted_error': 1.0000005982406468, 'gamma': 0.00016}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 6.343049873727352e-05, 'weighted_error': 1.0000012190569512, 'gamma': 0.00016}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 1.2288118412826605e-05, 'weighted_error': 1.0000002361079376, 'gamma': 0.00016}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 5.0342152331219385e-06, 'weighted_error': 1.000000096694124, 'gamma': 0.00016}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.02728920204783019, 'weighted_error': 1.0002969674435205, 'gamma': 0.00027}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.025727447106402256, 'weighted_error': 1.0002799693905324, 'gamma': 0.00027}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.012695095537537426, 'weighted_error': 1.0001381515961807, 'gamma': 0.00027}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0028219635102221374, 'weighted_error': 1.0000307058198263, 'gamma': 0.00027}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.004082256756455765, 'weighted_error': 1.000044423787232, 'gamma': 0.00027}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.001433068071791948, 'weighted_error': 1.0000155947252907, 'gamma': 0.00027}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.29128069229205067, 'weighted_error': 1.0049733515199404, 'gamma': 8.9e-06}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.041847091393293415, 'weighted_error': 1.0007144963065548, 'gamma': 8.9e-06}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.053858396898527415, 'weighted_error': 1.0009195780407263, 'gamma': 8.9e-06}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.013527414237868208, 'weighted_error': 1.0002309715368576, 'gamma': 8.9e-06}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.021996343532254388, 'weighted_error': 1.0003755653026585, 'gamma': 8.9e-06}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0067674067546153694, 'weighted_error': 1.0001155495030705, 'gamma': 8.9e-06}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.04996236149083313, 'weighted_error': 1.0001257201285187, 'gamma': 0.00032}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.02150711623306086, 'weighted_error': 1.0000541147869837, 'gamma': 0.00032}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.017541112099723095, 'weighted_error': 1.0000441399994318, 'gamma': 0.00032}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0064635868332200115, 'weighted_error': 1.0000162617085133, 'gamma': 0.00032}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.005793581228574954, 'weighted_error': 1.000014580149409, 'gamma': 0.00032}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0018228575659901727, 'weighted_error': 1.0000045858828963, 'gamma': 0.00032}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.008946485816148196, 'weighted_error': 1.0001112858306065, 'gamma': 3.4e-05}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.009395218287016737, 'weighted_error': 1.0001168694140266, 'gamma': 3.4e-05}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0015311900502231984, 'weighted_error': 1.0000190478536102, 'gamma': 3.4e-05}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0011951468385891309, 'weighted_error': 1.00001486832923, 'gamma': 3.4e-05}
