{'sample_size': 500, 'noise': 0, 'shap_error': 3.594253822494595e-07, 'weighted_error': 1.0022813567382294, 'gamma': 1.3}
{'sample_size': 1000, 'noise': 0, 'shap_error': 7.042532347129193e-08, 'weighted_error': 1.0004470022478635, 'gamma': 1.3}
{'sample_size': 2000, 'noise': 0, 'shap_error': 3.834607195896484e-08, 'weighted_error': 1.0002433928653547, 'gamma': 1.3}
{'sample_size': 4000, 'noise': 0, 'shap_error': 4.10885898941091e-09, 'weighted_error': 1.0000260793625038, 'gamma': 1.3}
{'sample_size': 8000, 'noise': 0, 'shap_error': 1.0426363711120256e-17, 'weighted_error': 0.999999999999929, 'gamma': 1.3}
{'sample_size': 16000, 'noise': 0, 'shap_error': 1.0426363711120256e-17, 'weighted_error': 0.999999999999929, 'gamma': 1.3}
{'sample_size': 500, 'noise': 0, 'shap_error': 5.376523526482782e-07, 'weighted_error': 1.0049529045357537, 'gamma': 2.2}
{'sample_size': 1000, 'noise': 0, 'shap_error': 2.3518247830441716e-07, 'weighted_error': 1.002166518695389, 'gamma': 2.2}
{'sample_size': 2000, 'noise': 0, 'shap_error': 3.37333085193643e-08, 'weighted_error': 1.0003107557738167, 'gamma': 2.2}
{'sample_size': 4000, 'noise': 0, 'shap_error': 4.5614514126264185e-09, 'weighted_error': 1.0000420210935417, 'gamma': 2.2}
{'sample_size': 8000, 'noise': 0, 'shap_error': 2.1732743593592296e-18, 'weighted_error': 0.9999999999999812, 'gamma': 2.2}
{'sample_size': 16000, 'noise': 0, 'shap_error': 2.1732743593592296e-18, 'weighted_error': 0.9999999999999812, 'gamma': 2.2}
{'sample_size': 500, 'noise': 0, 'shap_error': 1.0191130515104982e-06, 'weighted_error': 1.0037806089910706, 'gamma': 1.1}
{'sample_size': 1000, 'noise': 0, 'shap_error': 8.815757616419329e-08, 'weighted_error': 1.0003270321719675, 'gamma': 1.1}
{'sample_size': 2000, 'noise': 0, 'shap_error': 1.4425112994977985e-07, 'weighted_error': 1.0005351183456073, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0, 'shap_error': 4.825772962523862e-09, 'weighted_error': 1.0000179046095896, 'gamma': 1.1}
{'sample_size': 8000, 'noise': 0, 'shap_error': 1.475834793160578e-16, 'weighted_error': 0.9999999999995729, 'gamma': 1.1}
{'sample_size': 16000, 'noise': 0, 'shap_error': 1.475834793160578e-16, 'weighted_error': 0.9999999999995729, 'gamma': 1.1}
{'sample_size': 500, 'noise': 0, 'shap_error': 2.3518750247165068e-06, 'weighted_error': 1.0014718952563233, 'gamma': 1.2}
{'sample_size': 1000, 'noise': 0, 'shap_error': 1.2426183855388765e-06, 'weighted_error': 1.0007776649587652, 'gamma': 1.2}
{'sample_size': 2000, 'noise': 0, 'shap_error': 2.420778585674364e-07, 'weighted_error': 1.000151502386391, 'gamma': 1.2}
