{'sample_size': 500, 'noise': 0, 'shap_error': 3.66524433053135e-14, 'weighted_error': 0.9999999999999643, 'gamma': 1.6}
{'sample_size': 1000, 'noise': 0, 'shap_error': 3.66524433053135e-14, 'weighted_error': 0.9999999999999643, 'gamma': 1.6}
{'sample_size': 2000, 'noise': 0, 'shap_error': 3.66524433053135e-14, 'weighted_error': 0.9999999999999643, 'gamma': 1.6}
{'sample_size': 4000, 'noise': 0, 'shap_error': 3.66524433053135e-14, 'weighted_error': 0.9999999999999643, 'gamma': 1.6}
{'sample_size': 8000, 'noise': 0, 'shap_error': 3.66524433053135e-14, 'weighted_error': 0.9999999999999643, 'gamma': 1.6}
{'sample_size': 16000, 'noise': 0, 'shap_error': 3.66524433053135e-14, 'weighted_error': 0.9999999999999643, 'gamma': 1.6}
{'sample_size': 500, 'noise': 0, 'shap_error': 4.7077907506048734e-14, 'weighted_error': 0.999999999998517, 'gamma': 1.1}
{'sample_size': 1000, 'noise': 0, 'shap_error': 4.7077907506048734e-14, 'weighted_error': 0.999999999998517, 'gamma': 1.1}
{'sample_size': 2000, 'noise': 0, 'shap_error': 4.7077907506048734e-14, 'weighted_error': 0.999999999998517, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0, 'shap_error': 4.7077907506048734e-14, 'weighted_error': 0.999999999998517, 'gamma': 1.1}
{'sample_size': 8000, 'noise': 0, 'shap_error': 4.7077907506048734e-14, 'weighted_error': 0.999999999998517, 'gamma': 1.1}
{'sample_size': 16000, 'noise': 0, 'shap_error': 4.7077907506048734e-14, 'weighted_error': 0.999999999998517, 'gamma': 1.1}
{'sample_size': 500, 'noise': 0, 'shap_error': 1.6360087715223328e-13, 'weighted_error': 0.9999999999881936, 'gamma': 1.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 1.6360087715223328e-13, 'weighted_error': 0.9999999999881936, 'gamma': 1.0}
{'sample_size': 2000, 'noise': 0, 'shap_error': 1.6360087715223328e-13, 'weighted_error': 0.9999999999881936, 'gamma': 1.0}
{'sample_size': 4000, 'noise': 0, 'shap_error': 1.6360087715223328e-13, 'weighted_error': 0.9999999999881936, 'gamma': 1.0}
{'sample_size': 8000, 'noise': 0, 'shap_error': 1.6360087715223328e-13, 'weighted_error': 0.9999999999881936, 'gamma': 1.0}
{'sample_size': 16000, 'noise': 0, 'shap_error': 1.6360087715223328e-13, 'weighted_error': 0.9999999999881936, 'gamma': 1.0}
{'sample_size': 500, 'noise': 0, 'shap_error': 3.1721604151912287e-14, 'weighted_error': 0.9999999999998611, 'gamma': 1.3}
{'sample_size': 1000, 'noise': 0, 'shap_error': 3.1721604151912287e-14, 'weighted_error': 0.9999999999998611, 'gamma': 1.3}
{'sample_size': 2000, 'noise': 0, 'shap_error': 3.1721604151912287e-14, 'weighted_error': 0.9999999999998611, 'gamma': 1.3}
{'sample_size': 4000, 'noise': 0, 'shap_error': 3.1721604151912287e-14, 'weighted_error': 0.9999999999998611, 'gamma': 1.3}
{'sample_size': 8000, 'noise': 0, 'shap_error': 3.1721604151912287e-14, 'weighted_error': 0.9999999999998611, 'gamma': 1.3}
{'sample_size': 16000, 'noise': 0, 'shap_error': 3.1721604151912287e-14, 'weighted_error': 0.9999999999998611, 'gamma': 1.3}
{'sample_size': 500, 'noise': 0, 'shap_error': 6.197666723851893e-14, 'weighted_error': 0.999999999999789, 'gamma': 1.3}
{'sample_size': 1000, 'noise': 0, 'shap_error': 6.197666723851893e-14, 'weighted_error': 0.999999999999789, 'gamma': 1.3}
{'sample_size': 2000, 'noise': 0, 'shap_error': 6.197666723851893e-14, 'weighted_error': 0.999999999999789, 'gamma': 1.3}
{'sample_size': 4000, 'noise': 0, 'shap_error': 6.197666723851893e-14, 'weighted_error': 0.999999999999789, 'gamma': 1.3}
{'sample_size': 8000, 'noise': 0, 'shap_error': 6.197666723851893e-14, 'weighted_error': 0.999999999999789, 'gamma': 1.3}
{'sample_size': 16000, 'noise': 0, 'shap_error': 6.197666723851893e-14, 'weighted_error': 0.999999999999789, 'gamma': 1.3}
{'sample_size': 500, 'noise': 0, 'shap_error': 2.3139509254336073e-14, 'weighted_error': 0.9999999999996586, 'gamma': 1.2}
{'sample_size': 1000, 'noise': 0, 'shap_error': 2.3139509254336073e-14, 'weighted_error': 0.9999999999996586, 'gamma': 1.2}
{'sample_size': 2000, 'noise': 0, 'shap_error': 2.3139509254336073e-14, 'weighted_error': 0.9999999999996586, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0, 'shap_error': 2.3139509254336073e-14, 'weighted_error': 0.9999999999996586, 'gamma': 1.2}
{'sample_size': 8000, 'noise': 0, 'shap_error': 2.3139509254336073e-14, 'weighted_error': 0.9999999999996586, 'gamma': 1.2}
{'sample_size': 16000, 'noise': 0, 'shap_error': 2.3139509254336073e-14, 'weighted_error': 0.9999999999996586, 'gamma': 1.2}
{'sample_size': 500, 'noise': 0, 'shap_error': 1.4453441788997618e-14, 'weighted_error': 0.9999999999984687, 'gamma': 1.2}
{'sample_size': 1000, 'noise': 0, 'shap_error': 1.4453441788997618e-14, 'weighted_error': 0.9999999999984687, 'gamma': 1.2}
{'sample_size': 2000, 'noise': 0, 'shap_error': 1.4453441788997618e-14, 'weighted_error': 0.9999999999984687, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0, 'shap_error': 1.4453441788997618e-14, 'weighted_error': 0.9999999999984687, 'gamma': 1.2}
{'sample_size': 8000, 'noise': 0, 'shap_error': 1.4453441788997618e-14, 'weighted_error': 0.9999999999984687, 'gamma': 1.2}
{'sample_size': 16000, 'noise': 0, 'shap_error': 1.4453441788997618e-14, 'weighted_error': 0.9999999999984687, 'gamma': 1.2}
{'sample_size': 500, 'noise': 0, 'shap_error': 1.0268274478024048e-14, 'weighted_error': 0.9999999999999741, 'gamma': 1.5}
{'sample_size': 1000, 'noise': 0, 'shap_error': 1.0268274478024048e-14, 'weighted_error': 0.9999999999999741, 'gamma': 1.5}
{'sample_size': 2000, 'noise': 0, 'shap_error': 1.0268274478024048e-14, 'weighted_error': 0.9999999999999741, 'gamma': 1.5}
{'sample_size': 4000, 'noise': 0, 'shap_error': 1.0268274478024048e-14, 'weighted_error': 0.9999999999999741, 'gamma': 1.5}
{'sample_size': 8000, 'noise': 0, 'shap_error': 1.0268274478024048e-14, 'weighted_error': 0.9999999999999741, 'gamma': 1.5}
{'sample_size': 16000, 'noise': 0, 'shap_error': 1.0268274478024048e-14, 'weighted_error': 0.9999999999999741, 'gamma': 1.5}
{'sample_size': 500, 'noise': 0, 'shap_error': 2.3751455863869334e-14, 'weighted_error': 0.9999999999987964, 'gamma': 1.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 2.3751455863869334e-14, 'weighted_error': 0.9999999999987964, 'gamma': 1.0}
{'sample_size': 2000, 'noise': 0, 'shap_error': 2.3751455863869334e-14, 'weighted_error': 0.9999999999987964, 'gamma': 1.0}
{'sample_size': 4000, 'noise': 0, 'shap_error': 2.3751455863869334e-14, 'weighted_error': 0.9999999999987964, 'gamma': 1.0}
{'sample_size': 8000, 'noise': 0, 'shap_error': 2.3751455863869334e-14, 'weighted_error': 0.9999999999987964, 'gamma': 1.0}
{'sample_size': 16000, 'noise': 0, 'shap_error': 2.3751455863869334e-14, 'weighted_error': 0.9999999999987964, 'gamma': 1.0}
{'sample_size': 500, 'noise': 0, 'shap_error': 4.503817869746654e-14, 'weighted_error': 0.9999999999994281, 'gamma': 1.1}
{'sample_size': 1000, 'noise': 0, 'shap_error': 4.503817869746654e-14, 'weighted_error': 0.9999999999994281, 'gamma': 1.1}
{'sample_size': 2000, 'noise': 0, 'shap_error': 4.503817869746654e-14, 'weighted_error': 0.9999999999994281, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0, 'shap_error': 4.503817869746654e-14, 'weighted_error': 0.9999999999994281, 'gamma': 1.1}
{'sample_size': 8000, 'noise': 0, 'shap_error': 4.503817869746654e-14, 'weighted_error': 0.9999999999994281, 'gamma': 1.1}
{'sample_size': 16000, 'noise': 0, 'shap_error': 4.503817869746654e-14, 'weighted_error': 0.9999999999994281, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0, 'shap_error': 3.66524433053135e-14, 'weighted_error': 0.9999999999999643, 'gamma': 1.6}
{'sample_size': 4000, 'noise': 0.0005, 'shap_error': 1.4382739112769594e-08, 'weighted_error': 1.0000000156174054, 'gamma': 1.6}
{'sample_size': 4000, 'noise': 0.001, 'shap_error': 5.758472590316842e-08, 'weighted_error': 1.000000062474484, 'gamma': 1.6}
{'sample_size': 4000, 'noise': 0.005, 'shap_error': 1.4406948561127956e-06, 'weighted_error': 1.000001561958058, 'gamma': 1.6}
{'sample_size': 4000, 'noise': 0.01, 'shap_error': 5.7633181085888315e-06, 'weighted_error': 1.0000062478798928, 'gamma': 1.6}
{'sample_size': 4000, 'noise': 0.05, 'shap_error': 0.000144093727716991, 'weighted_error': 1.0001561979492413, 'gamma': 1.6}
{'sample_size': 4000, 'noise': 0.1, 'shap_error': 0.0005763802986989742, 'weighted_error': 1.0006247922726075, 'gamma': 1.6}
{'sample_size': 4000, 'noise': 0.5, 'shap_error': 0.014409615225414233, 'weighted_error': 1.0156198163267334, 'gamma': 1.6}
