{'sample_size': 500, 'difference': -70, 'noise': 0, 'n': 60, 'shap_error': 0.002345850639457761}
{'sample_size': 1000, 'difference': -94, 'noise': 0, 'n': 60, 'shap_error': 0.0015798580504048233}
{'sample_size': 2000, 'difference': 66, 'noise': 0, 'n': 60, 'shap_error': 0.0005671016018386786}
{'sample_size': 4000, 'difference': 6, 'noise': 0, 'n': 60, 'shap_error': 0.0002416231600245343}
{'sample_size': 8000, 'difference': -11, 'noise': 0, 'n': 60, 'shap_error': 0.00011176612530399949}
{'sample_size': 16000, 'difference': -19, 'noise': 0, 'n': 60, 'shap_error': 7.273529837637663e-05}
{'sample_size': 500, 'difference': -73, 'noise': 0, 'n': 60, 'shap_error': 0.00044392957550485284}
{'sample_size': 1000, 'difference': -42, 'noise': 0, 'n': 60, 'shap_error': 0.00023146898382447772}
{'sample_size': 2000, 'difference': -17, 'noise': 0, 'n': 60, 'shap_error': 8.577855687168309e-05}
{'sample_size': 4000, 'difference': -83, 'noise': 0, 'n': 60, 'shap_error': 4.3213093882435674e-05}
{'sample_size': 8000, 'difference': -50, 'noise': 0, 'n': 60, 'shap_error': 2.938375163310157e-05}
{'sample_size': 16000, 'difference': 123, 'noise': 0, 'n': 60, 'shap_error': 1.0319184304494698e-05}
{'sample_size': 500, 'difference': -54, 'noise': 0, 'n': 60, 'shap_error': 0.00235471702763462}
{'sample_size': 1000, 'difference': -66, 'noise': 0, 'n': 60, 'shap_error': 0.0012735663563391236}
{'sample_size': 2000, 'difference': 36, 'noise': 0, 'n': 60, 'shap_error': 0.0006842455459557439}
{'sample_size': 4000, 'difference': 6, 'noise': 0, 'n': 60, 'shap_error': 0.00020351690924915846}
{'sample_size': 8000, 'difference': -15, 'noise': 0, 'n': 60, 'shap_error': 0.00014565369280036797}
{'sample_size': 16000, 'difference': 124, 'noise': 0, 'n': 60, 'shap_error': 7.194197824833403e-05}
{'sample_size': 500, 'difference': -39, 'noise': 0, 'n': 60, 'shap_error': 0.003116025056535129}
{'sample_size': 1000, 'difference': -94, 'noise': 0, 'n': 60, 'shap_error': 0.0012436922004529893}
{'sample_size': 2000, 'difference': 18, 'noise': 0, 'n': 60, 'shap_error': 0.0004833568772432547}
{'sample_size': 4000, 'difference': -37, 'noise': 0, 'n': 60, 'shap_error': 0.00027380475212951204}
{'sample_size': 8000, 'difference': -7, 'noise': 0, 'n': 60, 'shap_error': 0.00012541397534988693}
{'sample_size': 16000, 'difference': 116, 'noise': 0, 'n': 60, 'shap_error': 5.270770211538311e-05}
{'sample_size': 500, 'difference': -46, 'noise': 0, 'n': 60, 'shap_error': 0.0013945899533361497}
{'sample_size': 1000, 'difference': -89, 'noise': 0, 'n': 60, 'shap_error': 0.0008726498005867236}
{'sample_size': 2000, 'difference': -64, 'noise': 0, 'n': 60, 'shap_error': 0.0003642371130699471}
{'sample_size': 4000, 'difference': -53, 'noise': 0, 'n': 60, 'shap_error': 0.0001707319371316563}
{'sample_size': 8000, 'difference': 65, 'noise': 0, 'n': 60, 'shap_error': 7.831670797213686e-05}
{'sample_size': 16000, 'difference': 44, 'noise': 0, 'n': 60, 'shap_error': 3.501906370428473e-05}
{'sample_size': 500, 'difference': -11, 'noise': 0, 'n': 60, 'shap_error': 0.0018984079525231172}
{'sample_size': 1000, 'difference': -82, 'noise': 0, 'n': 60, 'shap_error': 0.0010816734597167462}
{'sample_size': 2000, 'difference': -57, 'noise': 0, 'n': 60, 'shap_error': 0.00038094772109856836}
{'sample_size': 4000, 'difference': -36, 'noise': 0, 'n': 60, 'shap_error': 0.00012090962179512037}
{'sample_size': 8000, 'difference': 85, 'noise': 0, 'n': 60, 'shap_error': 9.500162641194382e-05}
{'sample_size': 16000, 'difference': -85, 'noise': 0, 'n': 60, 'shap_error': 4.614580145106562e-05}
{'sample_size': 500, 'difference': -41, 'noise': 0, 'n': 60, 'shap_error': 0.0033251414616280294}
{'sample_size': 1000, 'difference': -81, 'noise': 0, 'n': 60, 'shap_error': 0.0011469009115697487}
{'sample_size': 2000, 'difference': 5, 'noise': 0, 'n': 60, 'shap_error': 0.0006099455491507013}
{'sample_size': 4000, 'difference': 11, 'noise': 0, 'n': 60, 'shap_error': 0.0002667353659252018}
{'sample_size': 8000, 'difference': -24, 'noise': 0, 'n': 60, 'shap_error': 0.0001544949039810571}
{'sample_size': 16000, 'difference': -287, 'noise': 0, 'n': 60, 'shap_error': 6.0434755361604054e-05}
{'sample_size': 500, 'difference': -62, 'noise': 0, 'n': 60, 'shap_error': 0.00016085691169680187}
{'sample_size': 1000, 'difference': -58, 'noise': 0, 'n': 60, 'shap_error': 3.814297960328662e-05}
{'sample_size': 2000, 'difference': 22, 'noise': 0, 'n': 60, 'shap_error': 2.2215899917132593e-05}
