{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0001237432401379416, 'weighted_error': 1.0001434588799172, 'gamma': 0.054}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00024733669153528744, 'weighted_error': 1.0002867434127387, 'gamma': 0.054}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 5.786311895622632e-05, 'weighted_error': 1.0000670845125506, 'gamma': 0.054}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 9.7291908736898e-06, 'weighted_error': 1.0000112796225726, 'gamma': 0.054}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.609207159549361e-05, 'weighted_error': 1.0000302493767268, 'gamma': 0.054}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 6.028606215545075e-06, 'weighted_error': 1.0000069891514316, 'gamma': 0.054}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.926226325910402e-05, 'weighted_error': 1.0015340462345586, 'gamma': 0.048}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 4.03567957124744e-06, 'weighted_error': 1.0001576660130138, 'gamma': 0.048}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 9.435762167763137e-06, 'weighted_error': 1.0003686416126054, 'gamma': 0.048}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.952570555594626e-06, 'weighted_error': 1.0001544572300085, 'gamma': 0.048}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.574811580949175e-06, 'weighted_error': 1.0001005905007307, 'gamma': 0.048}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 5.476842033030253e-07, 'weighted_error': 1.0000213947731327, 'gamma': 0.048}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.335846094524932e-05, 'weighted_error': 1.00283193950555, 'gamma': 0.0014}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.7653616188472315e-05, 'weighted_error': 1.0014983901037167, 'gamma': 0.0014}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.1767153687915577e-05, 'weighted_error': 1.001847676961818, 'gamma': 0.0014}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.6345972962954348e-06, 'weighted_error': 1.0001387127307166, 'gamma': 0.0014}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 4.431614590260168e-06, 'weighted_error': 1.0003762320125955, 'gamma': 0.0014}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.018134787475566e-06, 'weighted_error': 1.0002562394278152, 'gamma': 0.0014}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 4.780119727354517e-05, 'weighted_error': 1.0002403379768947, 'gamma': 0.061}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.538685176386726e-05, 'weighted_error': 1.000077364004356, 'gamma': 0.061}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 9.857397091839417e-06, 'weighted_error': 1.0000495618831275, 'gamma': 0.061}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 4.244674233545941e-06, 'weighted_error': 1.000021342602841, 'gamma': 0.061}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 4.39202624303651e-06, 'weighted_error': 1.0000220841149652, 'gamma': 0.061}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.0659445464521634e-06, 'weighted_error': 1.0000053587259607, 'gamma': 0.061}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00010577464029776933, 'weighted_error': 1.0004050506881994, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.970156937662104e-05, 'weighted_error': 1.0000754429882266, 'gamma': 0.044}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.3319162827323627e-05, 'weighted_error': 1.0000893002996647, 'gamma': 0.044}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 5.59873965414523e-06, 'weighted_error': 1.0000214367136715, 'gamma': 0.044}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 6.208024229997841e-06, 'weighted_error': 1.0000237689878448, 'gamma': 0.044}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.0966913505058017e-06, 'weighted_error': 1.0000041999520644, 'gamma': 0.044}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.5020835005014658e-14, 'weighted_error': 0.9999999999996705, 'gamma': 0.12}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.3469151209260755e-14, 'weighted_error': 0.9999999999996638, 'gamma': 0.12}
